timestamp,rain_accum,rain_incr,stage,tweets_incr,tweets_incr_baseline,tweets_accum,tweets_accum_baseline,ActionStage,BankfullStage,MinorFlooding,ModerateFlooding,MajorFlooding,,
2013-09-13 23:00,12.33,0,5.51,1258,69,152430,4475,3.8,5.5,5.5,6,8,,
2013-09-14 00:00,12.33,0,5.52,901,43,153331,4518,3.8,5.5,5.5,6,8,,
2013-09-14 01:00,12.33,0,5.53,533,23,153864,4541,3.8,5.5,5.5,6,8,,
2013-09-14 02:00,12.33,0,5.42,231,16,154095,4557,3.8,5.5,5.5,6,8,,
2013-09-14 03:00,12.33,0,5.36,132,4,154227,4561,3.8,5.5,5.5,6,8,,
2013-09-14 04:00,12.33,0,5.23,115,6,154342,4567,3.8,5.5,5.5,6,8,,
2013-09-14 05:00,12.33,0,5.1,132,19,154474,4586,3.8,5.5,5.5,6,8,,
2013-09-14 06:00,12.33,0,5.03,217,33,154691,4619,3.8,5.5,5.5,6,8,,
2013-09-14 07:00,12.33,0,4.93,504,40,155195,4659,3.8,5.5,5.5,6,8,,
2013-09-14 08:00,12.33,0,4.82,827,40,156022,4699,3.8,5.5,5.5,6,8,,
2013-09-14 09:00,12.33,0,4.78,1252,69,157274,4768,3.8,5.5,5.5,6,8,,
2013-09-14 10:00,12.33,0,4.73,1811,55,159085,4823,3.8,5.5,5.5,6,8,,
2013-09-14 11:00,12.33,0,4.62,1570,62,160655,4885,3.8,5.5,5.5,6,8,,
2013-09-14 12:00,12.33,0,4.6,1324,68,161979,4953,3.8,5.5,5.5,6,8,,
2013-09-14 13:00,12.33,0,4.5,1398,54,163377,5007,3.8,5.5,5.5,6,8,,
2013-09-14 14:00,12.33,0,4.49,1282,50,164659,5057,3.8,5.5,5.5,6,8,,
2013-09-14 15:00,12.33,0,4.39,1304,68,165963,5125,3.8,5.5,5.5,6,8,,
2013-09-14 16:00,12.37,0.039,4.31,2493,79,168456,5204,3.8,5.5,5.5,6,8,,
2013-09-14 17:00,12.37,0,4.31,3027,95,171483,5299,3.8,5.5,5.5,6,8,,
2013-09-14 18:00,12.37,0,4.31,2626,78,174109,5377,3.8,5.5,5.5,6,8,,
2013-09-14 19:00,12.37,0,4.31,1868,801,175977,6178,3.8,5.5,5.5,6,8,,
2013-09-14 20:00,12.37,0,4.22,1500,384,177477,6562,3.8,5.5,5.5,6,8,,
2013-09-14 21:00,12.53,0.159,4.2,1468,76,178945,6638,3.8,5.5,5.5,6,8,,
2013-09-14 22:00,12.65,0.119,4.32,1361,65,180306,6703,3.8,5.5,5.5,6,8,,
2013-09-14 23:00,12.65,0,4.06,1071,62,181377,6765,3.8,5.5,5.5,6,8,,
2013-09-15 00:00,12.65,0,4.04,633,46,182010,6811,3.8,5.5,5.5,6,8,,
2013-09-15 01:00,12.65,0,4,364,26,182374,6837,3.8,5.5,5.5,6,8,,
2013-09-15 02:00,12.65,0,4,238,14,182612,6851,3.8,5.5,5.5,6,8,,
2013-09-15 03:00,12.65,0,3.95,113,12,182725,6863,3.8,5.5,5.5,6,8,,
2013-09-15 04:00,12.65,0,3.91,89,11,182814,6874,3.8,5.5,5.5,6,8,,
2013-09-15 05:00,12.65,0,3.92,143,23,182957,6897,3.8,5.5,5.5,6,8,,
2013-09-15 06:00,12.65,0,3.87,162,19,183119,6916,3.8,5.5,5.5,6,8,,
2013-09-15 07:00,12.65,0,3.8,407,28,183526,6944,3.8,5.5,5.5,6,8,,
2013-09-15 08:00,12.65,0,3.8,769,52,184295,6996,3.8,5.5,5.5,6,8,,
2013-09-15 09:00,12.65,0,3.72,1398,44,185693,7040,3.8,5.5,5.5,6,8,,
2013-09-15 10:00,12.69,0.039,3.79,1716,47,187409,7087,3.8,5.5,5.5,6,8,,
2013-09-15 11:00,13.01,0.319,3.98,2300,48,189709,7135,3.8,5.5,5.5,6,8,,
2013-09-15 12:00,13.37,0.359,4.3,2523,45,192232,7180,3.8,5.5,5.5,6,8,,
2013-09-15 13:00,13.57,0.199,4.42,3469,45,195701,7225,3.8,5.5,5.5,6,8,,
2013-09-15 14:00,13.69,0.119,4.8,2684,52,198385,7277,3.8,5.5,5.5,6,8,,
2013-09-15 15:00,13.69,0,4.83,2222,114,200607,7391,3.8,5.5,5.5,6,8,,
2013-09-15 16:00,13.77,0.079,4.87,2530,90,203137,7481,3.8,5.5,5.5,6,8,,
2013-09-15 17:00,13.77,0,4.8,2745,68,205882,7549,3.8,5.5,5.5,6,8,,
2013-09-15 18:00,13.77,0,4.74,2294,91,208176,7640,3.8,5.5,5.5,6,8,,
2013-09-15 19:00,13.89,0.119,4.8,1637,59,209813,7699,3.8,5.5,5.5,6,8,,
2013-09-15 20:00,13.89,0,4.8,1665,45,211478,7744,3.8,5.5,5.5,6,8,,
2013-09-15 21:00,13.89,0,4.74,1608,41,213086,7785,3.8,5.5,5.5,6,8,,
2013-09-15 22:00,14.05,0.159,4.79,1404,46,214490,7831,3.8,5.5,5.5,6,8,,
2013-09-15 23:00,14.05,0,4.82,963,41,215453,7872,3.8,5.5,5.5,6,8,,
2013-09-16 00:00,14.13,0.079,4.89,654,32,216107,7904,3.8,5.5,5.5,6,8,,
2013-09-16 01:00,14.13,0,4.86,376,20,216483,7924,3.8,5.5,5.5,6,8,,
2013-09-16 02:00,14.17,0.039,4.82,169,9,216652,7933,3.8,5.5,5.5,6,8,,
2013-09-16 03:00,14.21,0.039,4.89,140,4,216792,7937,3.8,5.5,5.5,6,8,,
2013-09-16 04:00,14.21,0,4.86,97,8,216889,7945,3.8,5.5,5.5,6,8,,
2013-09-16 05:00,14.21,0,4.86,251,14,217140,7959,3.8,5.5,5.5,6,8,,
2013-09-16 06:00,14.21,0,4.82,559,29,217699,7988,3.8,5.5,5.5,6,8,,
2013-09-16 07:00,14.21,0,4.78,831,24,218530,8012,3.8,5.5,5.5,6,8,,
2013-09-16 08:00,14.21,0,4.74,953,27,219483,8039,3.8,5.5,5.5,6,8,,
2013-09-16 09:00,14.21,0,4.76,1140,32,220623,8071,3.8,5.5,5.5,6,8,,
2013-09-16 10:00,14.21,0,4.76,1298,51,221921,8122,3.8,5.5,5.5,6,8,,
2013-09-16 11:00,14.21,0,4.8,1424,52,223345,8174,3.8,5.5,5.5,6,8,,
2013-09-16 12:00,14.21,0,4.75,1535,60,224880,8234,3.8,5.5,5.5,6,8,,
2013-09-16 13:00,14.25,0.039,4.78,1572,48,226452,8282,3.8,5.5,5.5,6,8,,
2013-09-16 14:00,14.25,0,4.74,1408,41,227860,8323,3.8,5.5,5.5,6,8,,
2013-09-16 15:00,14.25,0,4.74,1304,42,229164,8365,3.8,5.5,5.5,6,8,,
2013-09-16 16:00,14.25,0,4.73,1267,65,230431,8430,3.8,5.5,5.5,6,8,,
2013-09-16 17:00,14.25,0,4.68,1300,51,231731,8481,3.8,5.5,5.5,6,8,,
2013-09-16 18:00,14.25,0,4.6,1186,80,232917,8561,3.8,5.5,5.5,6,8,,
2013-09-16 19:00,14.25,0,4.62,1013,48,233930,8609,3.8,5.5,5.5,6,8,,
2013-09-16 20:00,14.25,0,4.62,900,48,234830,8657,3.8,5.5,5.5,6,8,,
2013-09-16 21:00,14.25,0,4.64,975,33,235805,8690,3.8,5.5,5.5,6,8,,
2013-09-16 22:00,14.25,0,4.65,946,36,236751,8726,3.8,5.5,5.5,6,8,,
2013-09-16 23:00,14.25,0,4.6,640,29,237391,8755,3.8,5.5,5.5,6,8,,
2013-09-17 00:00,14.25,0,4.58,401,42,237792,8797,3.8,5.5,5.5,6,8,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
