timestamp,rain_accum,rain_incr,stage,combined_incr,combined_accum,BoulderOEM_incr,NWSBoulder_incr,BoulderOEM_accum,NWSBoulder_accum,,,,,
2013-09-13 08:00,12.17,0,6.78,3954,3954,0,16,2388,1566,,,,,
2013-09-13 09:00,12.17,0,6.77,3971,3971,0,17,2388,1583,,,,,
2013-09-13 10:00,12.33,0.159,6.64,4058,4058,54,33,2442,1616,,,,,
2013-09-13 11:00,12.33,0,6.56,4147,4147,64,25,2506,1641,,,,,
2013-09-13 12:00,12.33,0,6.39,4222,4222,54,21,2560,1662,,,,,
2013-09-13 13:00,12.33,0,6.14,4244,4244,22,0,2582,1662,,,,,
2013-09-13 14:00,12.33,0,5.94,4276,4276,32,0,2614,1662,,,,,
2013-09-13 15:00,12.33,0,5.75,4327,4327,37,14,2651,1676,,,,,
2013-09-13 16:00,12.33,0,5.75,4348,4348,21,0,2672,1676,,,,,
2013-09-13 17:00,12.33,0,5.7,4368,4368,20,0,2692,1676,,,,,
2013-09-13 18:00,12.33,0,5.7,4392,4392,11,13,2703,1689,,,,,
2013-09-13 19:00,12.33,0,5.7,4427,4427,17,18,2720,1707,,,,,
2013-09-13 20:00,12.33,0,5.51,4466,4466,25,14,2745,1721,,,,,
2013-09-13 21:00,12.33,0,5.51,4482,4482,16,0,2761,1721,,,,,
2013-09-13 22:00,12.33,0,5.51,4517,4517,35,0,2796,1721,,,,,
2013-09-13 23:00,12.33,0,5.51,4541,4541,0,24,2796,1745,,,,,
2013-09-14 00:00,12.33,0,5.52,4547,4547,6,0,2802,1745,,,,,
2013-09-14 01:00,12.33,0,5.53,4559,4559,12,0,2814,1745,,,,,
2013-09-14 02:00,12.33,0,5.42,4570,4570,11,0,2825,1745,,,,,
2013-09-14 03:00,12.33,0,5.36,4570,4570,0,0,2825,1745,,,,,
2013-09-14 04:00,12.33,0,5.23,4570,4570,0,0,2825,1745,,,,,
2013-09-14 05:00,12.33,0,5.1,4577,4577,7,0,2832,1745,,,,,
2013-09-14 06:00,12.33,0,5.03,4577,4577,0,0,2832,1745,,,,,
2013-09-14 07:00,12.33,0,4.93,4594,4594,17,0,2849,1745,,,,,
2013-09-14 08:00,12.33,0,4.82,4594,4594,0,0,2849,1745,,,,,
2013-09-14 09:00,12.33,0,4.78,4612,4612,18,0,2867,1745,,,,,
2013-09-14 10:00,12.33,0,4.73,4634,4634,22,0,2889,1745,,,,,
2013-09-14 11:00,12.33,0,4.62,4653,4653,19,0,2908,1745,,,,,
2013-09-14 12:00,12.33,0,4.6,4668,4668,15,0,2923,1745,,,,,
2013-09-14 13:00,12.33,0,4.5,4691,4691,23,0,2946,1745,,,,,
2013-09-14 14:00,12.33,0,4.49,4715,4715,13,11,2959,1756,,,,,
2013-09-14 15:00,12.33,0,4.39,4723,4723,8,0,2967,1756,,,,,
2013-09-14 16:00,12.37,0.039,4.31,4741,4741,11,7,2978,1763,,,,,
2013-09-14 17:00,12.37,0,4.31,4756,4756,7,8,2985,1771,,,,,
