"timeslice","mycount"
"2013-09-20 22:15:00",5
"2013-09-21 01:00:00",1
"2013-09-21 14:30:00",1
"2013-09-22 05:30:00",2
"2013-09-22 12:15:00",1
"2013-09-22 12:30:00",1
"2013-09-22 16:00:00",1
"2013-09-22 16:30:00",1
"2013-09-22 19:00:00",1
"2013-09-22 20:00:00",1
"2013-09-23 00:45:00",1
"2013-09-24 02:15:00",2
"2013-09-24 02:45:00",1
"2013-09-24 23:30:00",1
"2013-09-24 23:45:00",1
"2013-09-25 01:30:00",1
"2013-09-25 17:15:00",1
"2013-09-25 19:00:00",1
"2013-09-25 19:15:00",2
"2013-09-25 19:30:00",1
"2013-09-25 21:00:00",1
"2013-09-25 21:15:00",1
"2013-09-25 23:30:00",1
"2013-09-26 03:00:00",1
"2013-09-26 03:30:00",1
"2013-09-26 03:45:00",4
"2013-09-26 04:00:00",2
"2013-09-29 19:15:00",1
"2013-09-30 10:45:00",1
"2013-09-30 19:15:00",2
"2013-09-30 20:15:00",1
"2013-09-30 20:30:00",1
"2013-09-30 21:30:00",1
"2013-10-01 12:15:00",1
"2013-10-02 14:00:00",1
"2013-10-03 01:30:00",1
"2013-10-03 02:00:00",1
"2013-10-03 02:30:00",1
"2013-10-05 21:15:00",1
"2013-10-06 23:45:00",1
"2013-10-07 01:00:00",1
"2013-10-07 22:15:00",1
"2013-10-07 22:30:00",1
"2013-10-08 00:15:00",1
"2013-10-09 01:00:00",1
"2013-10-10 15:00:00",1
"2013-10-10 22:30:00",1
"2013-10-11 20:30:00",2
"2013-10-13 21:00:00",1
"2013-10-13 22:45:00",1
"2013-10-14 16:30:00",1
"2013-10-14 21:00:00",1
"2013-10-14 22:45:00",1
"2013-10-15 14:00:00",1
"2013-10-15 14:15:00",1
"2013-10-16 16:15:00",1
"2013-10-19 00:30:00",1
"2013-10-24 15:00:00",1
"2013-10-24 20:30:00",2
"2013-10-26 23:15:00",1
"2013-10-27 00:15:00",1
"2013-10-27 21:15:00",1
"2013-10-27 22:30:00",1
"2013-10-27 23:15:00",1
"2013-10-28 15:15:00",1
"2013-11-02 01:15:00",1
"2013-11-06 05:15:00",1
"2013-11-06 20:30:00",1
"2013-11-07 05:30:00",1
"2013-11-08 18:30:00",1
"2013-11-08 22:00:00",2
"2013-11-08 23:45:00",1
"2013-11-09 15:00:00",1
"2013-11-09 21:15:00",1
