posted_at,followers_count
"2013-09-13 22:38:54",6423
"2013-09-13 22:47:09",6425
"2013-09-13 23:07:22",6429
"2013-09-13 23:12:12",6430
"2013-09-13 23:58:36",6445
"2013-09-14 00:07:17",6446
"2013-09-14 00:52:15",6457
"2013-09-14 01:44:56",6471
"2013-09-14 01:54:05",6472
"2013-09-14 02:47:01",6487
"2013-09-14 02:52:53",6487
"2013-09-14 04:22:53",6522
"2013-09-14 05:00:03",6528
"2013-09-14 05:19:46",6533
"2013-09-14 06:04:10",6540
"2013-09-14 09:32:33",6551
"2013-09-14 11:46:43",6558
"2013-09-14 13:29:02",6575
"2013-09-14 14:36:12",6593
"2013-09-14 15:38:30",6615
"2013-09-14 15:40:34",6615
"2013-09-14 15:42:56",6615
"2013-09-14 15:45:33",6615
"2013-09-14 15:47:46",6618
"2013-09-14 15:47:39",6617
"2013-09-14 15:49:11",6618
"2013-09-14 15:57:26",6626
"2013-09-14 16:23:53",6634
"2013-09-14 16:49:42",6644
"2013-09-14 16:54:14",6645
"2013-09-14 17:15:29",6649
"2013-09-14 17:16:17",6649
"2013-09-14 17:19:09",6650
"2013-09-14 17:42:52",6659
"2013-09-14 17:52:24",6664
"2013-09-14 17:57:06",6665
"2013-09-14 18:17:54",6672
"2013-09-14 18:30:10",6676
"2013-09-14 18:51:18",6679
"2013-09-14 19:13:29",6685
"2013-09-14 19:22:57",6685
"2013-09-14 19:31:59",6686
"2013-09-14 19:38:01",6687
"2013-09-14 19:39:25",6689
"2013-09-14 19:49:48",6689
"2013-09-14 19:50:44",6690
"2013-09-14 19:52:16",6690
"2013-09-14 20:14:38",6693
"2013-09-14 20:18:22",6693
"2013-09-14 20:31:21",6697
"2013-09-14 20:35:00",6699
"2013-09-14 20:56:37",6704
"2013-09-14 20:57:21",6704
"2013-09-14 20:59:27",6704
"2013-09-14 21:01:25",6704
"2013-09-14 21:25:04",6707
"2013-09-14 21:30:52",6707
"2013-09-14 21:34:36",6707
"2013-09-14 21:38:32",6707
"2013-09-14 21:50:37",6709
"2013-09-14 21:51:47",6709
"2013-09-14 21:54:08",6709
"2013-09-14 21:55:23",6710
